City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Jieshi,CN,80.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
367,Buala,SB,85.84,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
368,Ranghulu,CN,66.58,overcast clouds,46.65,124.8667,Jinjiang Inn
369,Tefe,BR,72.66,overcast clouds,-3.3542,-64.7114,Aracati Hotel
370,Jawhar,SO,76.86,broken clouds,2.7809,45.5005,hantiwadaag village part one
374,Vila Velha,BR,79.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
375,Te Anau,NZ,62.89,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
376,Zunyi,CN,69.39,overcast clouds,27.6867,106.9072,Bishiluo Hostel
377,Yumen,CN,72.03,overcast clouds,40.2833,97.2,Bishiluo Hostel
378,Shitanjing,CN,83.01,overcast clouds,39.2342,106.3439,Yingbin Hotel
380,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
383,Hualmay,PE,64.78,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
384,Poum,NC,78.57,clear sky,-20.2333,164.0167,Hotel Villa Kitzia Huacho
385,Kiama,AU,70.38,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
386,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
387,Huarmey,PE,66.2,broken clouds,-10.0681,-78.1522,Hotel Miramar
388,Daulatpur,PK,90.43,clear sky,26.5015,67.9706,Syed Tabish Saleem Home
390,Ferkessedougou,CI,78.13,overcast clouds,9.6,-5.2,Hotel Chateau
391,Miri,MY,85.96,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
394,Cabinda,AO,78.66,overcast clouds,-5.55,12.2,Hotel Maiombe
396,Saquena,PE,73.8,overcast clouds,-4.6667,-73.5167,Hotel Maiombe
397,Fengrun,CN,82.38,broken clouds,39.8333,118.1167,Super 8 Tangshan North Railway Station Tangfeng Road
399,Portland,US,70.39,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
400,Lodja,CD,69.78,broken clouds,-3.4833,23.4333,Embassy Suites by Hilton Portland Downtown
401,Torbat-E Jam,IR,64.2,clear sky,35.244,60.6225,White building
402,Chiang Khong,TH,81.03,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
404,Avera,US,75.54,broken clouds,33.194,-82.5271,Chiangkhong Green Inn Resident
408,Sayyan,YE,62.02,clear sky,15.1718,44.3244,ملاطف ابوحورية
410,Sestri Levante,IT,60.71,overcast clouds,44.2732,9.3968,Grande Albergo
413,Kavieng,PG,85.3,light rain,-2.5744,150.7967,Nusa Island Retreat
414,Port Macquarie,AU,68.85,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
415,Taoudenni,ML,84.38,scattered clouds,22.6783,-3.9836,Rydges Port Macquarie
417,Kamaishi,JP,61.63,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
418,Kidal,ML,85.03,few clouds,18.4411,1.4078,Hotel Route Inn Kamaishi
419,Semporna,MY,82.4,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
420,Xining,CN,61.88,clear sky,36.6167,101.7667,Super Leisure Hotel
422,Paragominas,BR,72.75,light rain,-2.9667,-47.4833,INOVA
429,Honiara,SB,86.34,scattered clouds,-9.4333,159.95,Heritage Park Hotel
431,Lastoursville,GA,71.08,light rain,-0.8143,12.7287,Auberge Bon Coin 02
432,Lang Son,VN,77.85,overcast clouds,21.8333,106.7333,Khai Nga Hotel
434,Male,MV,83.71,moderate rain,4.1748,73.5089,Hotel Octave Maldives
435,Salinas,US,71.73,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
437,Thinadhoo,MV,80.92,overcast clouds,0.5333,72.9333,Laurel Inn & Conference Center
438,Mazara Del Vallo,IT,64.89,scattered clouds,37.6641,12.588,Vizier Resort & Spa
441,Jiwani,PK,80.06,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
442,Chiang Klang,TH,79.52,broken clouds,19.2938,100.8617,Sangthong Resort
443,Esperance,AU,60.8,overcast clouds,-33.8667,121.9,Hospitality Esperance
444,Akyab,MM,83.95,clear sky,20.15,92.9,Hotel Memory
445,Manaure,CO,82.04,few clouds,11.7751,-72.4445,Hotel Palaaima
447,Pisco,PE,63.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
451,Puerto Escondido,MX,81.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
454,Bogalusa,US,78.85,clear sky,30.791,-89.8487,Traveler's Rest Motel
455,Jishou,CN,77.5,scattered clouds,28.3167,109.7167,7 Days Inn
456,Ugoofaaru,MV,85.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
457,San Pedro,PH,88.83,few clouds,14.35,121.0167,Esquivel's Garden And Resort
459,San Cosme Y Damian,PY,62.78,overcast clouds,-27.3167,-56.35,Posada Turística Aguapey
460,Merauke,ID,85.82,overcast clouds,-8.4667,140.3333,Posada Turística Aguapey
461,Suileng,CN,74.89,overcast clouds,47.25,127.0833,Bihai Chunju Hotel
463,Lakota,CI,73.29,light rain,5.8528,-5.6883,Aziz bah divers
464,Domoni,KM,78.91,overcast clouds,-12.2569,44.5319,Al Djadid
465,Mareeba,AU,82.49,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
471,Tual,ID,83.43,moderate rain,-5.6667,132.75,Grand Vilia Hotel
472,Ciudad Bolivar,VE,80.26,overcast clouds,8.1222,-63.5497,Hotel Edi
477,Lima,PE,66.9,clear sky,-12.0432,-77.0282,Hotel Kamana
478,Guerrero Negro,MX,60.37,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
481,Biak,ID,83.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
482,Pouebo,NC,79.75,broken clouds,-20.4,164.5667,RIVÂT LODGE
483,Ericeira,PT,64.31,clear sky,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
484,Ouallam,NE,85.96,broken clouds,14.3188,2.0866,HOTEL PEDRO O PESCADOR
490,Half Moon Bay,US,79.88,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
492,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
494,Brandon,US,80.24,clear sky,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
495,Mahajanga,MG,69.82,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
496,Sampit,ID,86.56,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
498,Dawei,MM,85.33,broken clouds,14.0833,98.2,Hotel Dawei
500,Matara,LK,80.06,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
501,Nova Olimpia,BR,63.32,clear sky,-14.7972,-57.2881,Motel glamour
502,Mbaiki,CF,68.79,light rain,3.8678,17.9892,Motel MBM
503,Bowmore,US,78.64,clear sky,34.9421,-79.3031,Motel MBM
505,Luganville,VU,84.06,moderate rain,-15.5333,167.1667,The Espiritu Hotel
506,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
509,Emerald,AU,80.35,clear sky,-23.5333,148.1667,The Irish Village
511,Kutum,SD,80.17,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
514,Varzea Da Palma,BR,72.25,broken clouds,-17.5981,-44.7308,Casa Fernandes
515,Yulara,AU,62.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
516,Silver City,US,66.31,clear sky,32.7701,-108.2803,Copper Manor Motel
519,Santa Teresa,VE,74.8,broken clouds,10.2341,-66.6631,Funeraria Lira
520,Birao,CF,80.85,broken clouds,10.2849,22.7882,Funeraria Lira
522,Loubomo,CG,72.73,light rain,-4.1997,12.6739,La Dolisienne
523,Koumac,NC,79.68,broken clouds,-20.5667,164.2833,Le Monitel
526,Tongzi,CN,74.71,overcast clouds,28.7829,105.0877,Jiayuan Hotel
528,San Francisco,US,77.31,few clouds,37.7749,-122.4194,Edwardian Hotel
530,Mahon,ES,61.36,clear sky,39.8885,4.2658,ARTIEM Capri
531,Colotlan,MX,74.14,overcast clouds,22.1,-103.2667,Hotel Hacienda de los Galvez
540,Wamba,NG,73.99,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
542,Charters Towers,AU,83.03,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
543,Durban,ZA,65.01,clear sky,-29.8579,31.0292,Hilton Durban
545,Sohag,EG,68.94,clear sky,26.557,31.6948,Civil Registry - Sohag 1
549,Pekin,CN,75.09,scattered clouds,39.9075,116.3972,Capital Hotel
551,Kayes,ML,91.69,scattered clouds,14.0,-11.0,Capital Hotel
552,Namatanai,PG,84.33,light rain,-3.6667,152.4333,Seagulls Inn Namatani
553,Sugar Hill,US,73.87,few clouds,34.1065,-84.0335,"Holiday Inn Express & Suites Buford-Mall of GA, an IHG Hotel"
556,Shenzhen,CN,81.86,overcast clouds,22.5455,114.0683,Grand Skylight
557,Kimbe,PG,85.33,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
559,Kushikino,JP,72.86,overcast clouds,31.7167,130.2667,Tajiri Inn
560,Keffi,NG,75.6,overcast clouds,8.8486,7.8736,Imam Family
