City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
47,Tiksi,RU,71.6872,128.8694,17.35,92,100,4.14,overcast clouds
48,Port Blair,IN,11.6667,92.75,78.84,94,75,1.14,drizzle
49,Opuwo,NA,-18.0607,13.84,60.3,35,0,8.01,clear sky
50,Barrow,US,71.2906,-156.7887,15.82,79,100,14.97,light snow
51,Hilo,US,19.7297,-155.09,79.29,93,100,5.99,mist
52,Marzuq,YE,14.4,46.4667,72.79,17,0,4.09,clear sky
53,Nelson Bay,AU,-32.7167,152.15,71.1,81,36,1.99,scattered clouds
54,Lorengau,PG,-2.0226,147.2712,83.86,78,79,5.93,broken clouds
55,Pingliang,CN,35.5392,106.6861,73.53,33,0,2.62,clear sky
56,Gizo,SB,-8.103,156.8419,86.27,57,11,4.54,few clouds
57,Yellowknife,CA,62.456,-114.3525,37.56,100,100,5.99,overcast clouds
58,Ushuaia,AR,-54.8,-68.3,35.24,94,65,5.1,broken clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,14.97,overcast clouds
60,Necochea,AR,-38.5473,-58.7368,55.29,68,82,11.77,broken clouds
61,Coahuayana,MX,18.7333,-103.6833,73.49,82,81,2.53,broken clouds
62,Victoria,HK,22.2855,114.1577,81.97,73,100,11.99,overcast clouds
63,Kodiak,US,57.79,-152.4072,44.11,81,100,3.44,overcast clouds
64,Isangel,VU,-19.55,169.2667,81.25,70,7,7.76,clear sky
65,Hithadhoo,MV,-0.6,73.0833,82.9,76,100,21.54,heavy intensity rain
66,Mbengwi,CM,6.0167,10.0,64.71,90,100,2.53,overcast clouds
67,Pochutla,MX,15.7432,-96.4661,83.82,56,61,7.38,broken clouds
68,Kapaa,US,22.0752,-159.319,82.38,77,40,14.97,moderate rain
69,New Norfolk,AU,-42.7826,147.0587,56.91,80,66,3.56,broken clouds
70,Lebu,CL,-37.6167,-73.65,53.87,96,50,9.93,scattered clouds
71,Albany,US,42.6001,-73.9662,54.52,92,98,4.52,overcast clouds
72,Northam,GB,51.0333,-4.2167,49.6,95,22,3.53,few clouds
73,Acari,PE,-15.4311,-74.6158,69.26,81,6,2.86,clear sky
74,Namibe,AO,-15.1961,12.1522,78.17,61,1,2.35,clear sky
75,Vostok,RU,46.4856,135.8833,62.91,43,59,5.64,broken clouds
76,Alto Parana,BR,-23.1289,-52.3189,55.4,93,90,6.53,overcast clouds
77,Arraial Do Cabo,BR,-22.9661,-42.0278,75.18,87,82,10.29,broken clouds
78,Hede,CN,33.7681,120.2517,74.79,35,0,12.15,clear sky
79,Port Elizabeth,ZA,-33.918,25.5701,61.11,100,75,5.75,broken clouds
80,Khatanga,RU,71.9667,102.5,19.87,86,53,10.25,broken clouds
81,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,100,100,8.05,fog
82,Cape Town,ZA,-33.9258,18.4232,58.12,90,100,4.61,fog
83,Mangai,CD,-4.05,19.5333,70.66,86,38,1.92,scattered clouds
84,Chuy,UY,-33.6971,-53.4616,56.01,82,0,3.71,clear sky
85,Gravelbourg,CA,49.8834,-106.5512,64.2,38,91,7.23,overcast clouds
86,Punta Arenas,CL,-53.15,-70.9167,41.11,86,92,11.95,light rain
87,Arlit,NE,18.7369,7.3853,86.79,8,15,9.95,few clouds
88,Pevek,RU,69.7008,170.3133,23.63,81,100,7.25,overcast clouds
89,Tessalit,ML,20.1986,1.0114,83.16,19,95,8.25,overcast clouds
90,Santa Lucia,ES,27.9117,-15.5407,56.52,68,20,17.27,few clouds
91,Castro,BR,-24.7911,-50.0119,48.7,96,1,5.46,clear sky
